user_id,game_id,title,genre,platform,rating,review,timestamp,image_url
1,1,The Legend of Zelda: Breath of the Wild,Action-Adventure,Nintendo Switch,5,Incredible open-world experience!,2023-11-10T10:30:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTvv7AdnDOiUfeZAH4NWSNPqjMss3NSuo7nISf7Y3k4bskoR0ok
2,2,Super Mario Odyssey,Platformer,Nintendo Switch,4,Fun and charming!,2023-11-11T08:45:00,https://upload.wikimedia.org/wikipedia/en/8/8d/Super_Mario_Odyssey.jpg
1,3,God of War,Action RPG,PlayStation 4,5,Amazing story and gameplay.,2023-11-12T12:00:00,https://upload.wikimedia.org/wikipedia/en/a/a7/God_of_War_4_cover.jpg
3,4,Red Dead Redemption 2,Action-Adventure,PC,4,Incredible world-building.,2023-11-10T15:25:00,https://upload.wikimedia.org/wikipedia/en/4/44/Red_Dead_Redemption_II.jpg
2,5,The Witcher 3: Wild Hunt,Action RPG,PC,5,One of the best RPGs out there!,2023-11-12T17:35:00,https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg
4,6,Dark Souls III,Action RPG,Xbox One,4,Challenging but rewarding.,2023-11-11T20:00:00,https://upload.wikimedia.org/wikipedia/en/b/bb/Dark_souls_3_cover_art.jpg
5,7,Cyberpunk 2077,Action RPG,PC,3,"Interesting story, but buggy.",2023-11-13T11:15:00,https://upload.wikimedia.org/wikipedia/en/9/9f/Cyberpunk_2077_box_art.jpg
3,8,Animal Crossing: New Horizons,Simulation,Nintendo Switch,4,Relaxing and fun!,2023-11-14T13:20:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS4wSmt_QLQcY7iUTo5geoTmaY2rYcPH2xEqf9-3wAeYho6UT2c
6,9,Fortnite,Battle Royale,PC,4,"Addictive gameplay, tons of fun.",2023-11-15T14:30:00,https://upload.wikimedia.org/wikipedia/en/a/ae/Fortnite_Save_The_World.jpg
2,10,Minecraft,Sandbox,PC,5,Endless creativity and adventure.,2023-11-16T16:40:00,https://upload.wikimedia.org/wikipedia/en/b/b6/Minecraft_2024_cover_art.png
2,11,The Elder Scrolls V: Skyrim,Action RPG,PC,5,A timeless RPG adventure.,2023-11-15T11:00:00,https://upload.wikimedia.org/wikipedia/en/1/15/The_Elder_Scrolls_V_Skyrim_cover.png
6,12,The Last of Us Part II,Action-Adventure,PlayStation 4,5,Emotionally gripping and intense.,2023-11-13T14:20:00,https://upload.wikimedia.org/wikipedia/tr/6/62/The_Last_of_Us_Part_II_cover_art.png
3,13,Uncharted 4: A Thief's End,Action-Adventure,PlayStation 4,4,Exciting treasure-hunting experience.,2023-11-12T17:45:00,https://upload.wikimedia.org/wikipedia/en/1/1a/Uncharted_4_box_artwork.jpg
4,14,Resident Evil Village,Survival Horror,PC,4,Scary and visually stunning.,2023-11-18T09:30:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSYydP-GhMQ766vBkRIA1eRue3hq_OQtubJPDAxv5A67C0NpFC0
5,15,Horizon Zero Dawn,Action RPG,PC,5,Amazing open-world mechanics.,2023-11-19T16:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ19wa2dqdGF-GpmYiveR9xduXoPdkTT1HO9TKKGTUdmsmbMLqp
1,16,Fallout 4,Action RPG,PC,4,Immersive post-apocalyptic world.,2023-11-15T12:00:00,https://upload.wikimedia.org/wikipedia/en/7/70/Fallout_4_cover_art.jpg
6,17,Battlefield V,First-Person Shooter,PC,3,Visually impressive war scenes.,2023-11-17T10:50:00,https://upload.wikimedia.org/wikipedia/en/f/f0/Battlefield_V_standard_edition_box_art.jpg
2,18,Destiny 2,First-Person Shooter,PC,4,Co-op shooting at its best.,2023-11-14T22:30:00,https://upload.wikimedia.org/wikipedia/en/0/05/Destiny_2_%28artwork%29.jpg
3,19,Spider-Man: Miles Morales,Action-Adventure,PlayStation 5,5,Great graphics and gameplay.,2023-11-16T18:25:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQKcHEff0g5xPyrKCdLi4_i1iyXWrlHhza4j9AtZTTd6y3bv0cB
4,20,GTA V,Action-Adventure,PC,5,A must-play open-world game.,2023-11-17T21:00:00,https://upload.wikimedia.org/wikipedia/en/a/a5/Grand_Theft_Auto_V.png
3,26,Assassin's Creed Valhalla,Action RPG,PC,4,Exploration and Norse mythology come alive.,2023-11-16T18:30:00,https://upload.wikimedia.org/wikipedia/en/f/ff/Assassin%27s_Creed_Valhalla_cover.jpg
5,27,Control,Action-Adventure,PC,5,Mind-bending storyline and gameplay.,2023-11-15T19:10:00,https://upload.wikimedia.org/wikipedia/en/e/e5/Control_game_cover_art.jpg
2,28,Death Stranding,Action,PC,4,Unique post-apocalyptic delivery game.,2023-11-14T09:30:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgfJstIQdwfWkxo_pzzSaGdbsMRk9IhnG8wcTebRnSPEdvV6ZK
1,29,Doom Eternal,First-Person Shooter,PC,5,High-paced demon-slaying action.,2023-11-20T17:20:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTpHrhXqajO-2Qy3zIFwfwgbRKND61bhqwM-n-XbK0MczClASRj
4,30,Far Cry 5,First-Person Shooter,PC,4,Engaging and vast open world.,2023-11-19T10:00:00,https://upload.wikimedia.org/wikipedia/az/2/2c/Far_Cry_5.jpg
1,31,Ghost of Tsushima,Action-Adventure,PlayStation 4,5,A beautiful tribute to samurai lore.,2023-11-17T12:30:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSV98uvH4ix5WEiC98g5KVueyHqTi0kcMto1JfTihg291Ut_42d
2,32,Half-Life: Alyx,VR Shooter,PC,5,An immersive VR experience in the Half-Life universe.,2023-11-18T14:45:00,https://upload.wikimedia.org/wikipedia/en/4/49/Half-Life_Alyx_Cover_Art.jpg
3,33,The Elder Scrolls V: Skyrim,Action RPG,PC,5,A legendary open-world fantasy experience.,2023-11-19T16:10:00,https://upload.wikimedia.org/wikipedia/commons/4/45/The_Elder_Scrolls_V_-_Skyrim_logo.png
4,34,The Sims 4,Simulation,PC,4,Life simulation fun with endless creativity.,2023-11-20T09:25:00,https://upload.wikimedia.org/wikipedia/lt/3/32/The_Sims_4_Box_Art.png
5,35,Persona 5 Royal,JRPG,PlayStation 4,5,Incredible story and stylish design.,2023-11-15T10:00:00,https://upload.wikimedia.org/wikipedia/en/b/b0/Persona_5_cover_art.jpg
